Sl. No.,NT,THT,THt,THQCr,CT,Ct,DT,Dt,QmT,TT,Tt,TCr,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,RedRatio,dA,dB,dC,Fatigue
149,870,855,30,8,30,0,30,0,30,550,60,24,0.37,0.29,0.76,0.017,0.009,0.12,1.01,0.12,0.16,500,0.05,0,0.02,573
150,870,855,30,8,30,0,30,0,30,550,60,24,0.38,0.27,0.8,0.015,0.012,0.07,1.07,0.12,0.16,1120,0.03,0,0.02,536
151,870,855,30,8,30,0,30,0,30,550,60,24,0.34,0.29,0.71,0.019,0.013,0.11,1.05,0.12,0.16,500,0.08,0,0,557
152,870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.3,0.73,0.017,0.016,0.05,1.01,0.19,0.16,820,0.08,0,0.01,552
153,870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.3,0.7,0.019,0.012,0.02,1.03,0.01,0.15,1250,0,0,0.02,519
154,870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.27,0.79,0.012,0.007,0.03,1.03,0.04,0.17,1120,0,0,0.01,524
155,870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16,530,0.02,0,0,508
156,870,855,30,8,30,0,30,0,30,600,60,24,0.34,0.25,0.72,0.019,0.011,0.12,1.01,0.1,0.17,500,0.08,0,0.01,490
157,870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.35,0.74,0.016,0.02,0.05,0.97,0.12,0.15,740,0.02,0,0.01,550
158,870,855,30,8,30,0,30,0,30,600,60,24,0.37,0.23,0.82,0.012,0.017,0.04,1.09,0.05,0.16,530,0.01,0.01,0,515
159,870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.25,0.8,0.02,0.017,0.08,0.99,0.18,0.19,1120,0.03,0,0.01,530
160,870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.25,0.71,0.02,0.013,0.02,1.06,0.02,0.17,1740,0.05,0,0,546
161,870,855,30,8,30,0,30,0,30,600,60,24,0.33,0.27,0.69,0.015,0.008,0.04,0.99,0.05,0.18,640,0.03,0,0,535
162,870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.25,0.7,0.026,0.018,0.01,1,0.02,0.16,820,0.1,0,0,550
163,870,855,30,8,30,0,30,0,30,600,60,24,0.37,0.29,0.76,0.017,0.009,0.12,1.01,0.12,0.16,500,0.05,0,0.02,542
164,870,855,30,8,30,0,30,0,30,600,60,24,0.38,0.27,0.8,0.015,0.012,0.07,1.07,0.12,0.16,1120,0.03,0,0.02,592
165,870,855,30,8,30,0,30,0,30,600,60,24,0.34,0.29,0.71,0.019,0.013,0.11,1.05,0.12,0.16,500,0.08,0,0,524
166,870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.3,0.73,0.017,0.016,0.05,1.01,0.19,0.16,820,0.08,0,0.01,497
167,870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.3,0.7,0.019,0.012,0.02,1.03,0.01,0.15,1250,0,0,0.02,491
168,870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.27,0.79,0.012,0.007,0.03,1.03,0.04,0.17,1120,0,0,0.01,463
169,870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16,530,0.02,0,0,464
170,870,855,30,8,30,0,30,0,30,650,60,24,0.34,0.25,0.72,0.019,0.011,0.12,1.01,0.1,0.17,500,0.08,0,0.01,459
171,870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.35,0.74,0.016,0.02,0.05,0.97,0.12,0.15,740,0.02,0,0.01,489
172,870,855,30,8,30,0,30,0,30,650,60,24,0.37,0.23,0.82,0.012,0.017,0.04,1.09,0.05,0.16,530,0.01,0.01,0,477
173,870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.25,0.8,0.02,0.017,0.08,0.99,0.18,0.19,1120,0.03,0,0.01,469
174,870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.25,0.71,0.02,0.013,0.02,1.06,0.02,0.17,1740,0.05,0,0,496
175,870,855,30,8,30,0,30,0,30,650,60,24,0.33,0.27,0.69,0.015,0.008,0.04,0.99,0.05,0.18,640,0.03,0,0,467
176,870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.25,0.7,0.026,0.018,0.01,1,0.02,0.16,820,0.1,0,0,511
177,870,855,30,8,30,0,30,0,30,650,60,24,0.37,0.29,0.76,0.017,0.009,0.12,1.01,0.12,0.16,500,0.05,0,0.02,490
178,870,855,30,8,30,0,30,0,30,650,60,24,0.38,0.27,0.8,0.015,0.012,0.07,1.07,0.12,0.16,1120,0.03,0,0.02,523
179,870,855,30,8,30,0,30,0,30,650,60,24,0.34,0.29,0.71,0.019,0.013,0.11,1.05,0.12,0.16,500,0.08,0,0,476
180,870,855,30,8,30,0,30,0,30,550,60,24,0.41,0.24,0.77,0.014,0.015,0.04,1.06,0.05,0.2,530,0.03,0,0,610
181,870,855,30,8,30,0,30,0,30,550,60,24,0.39,0.27,0.86,0.019,0.008,0.1,0.96,0.12,0.17,500,0.08,0,0.01,581
182,870,855,30,8,30,0,30,0,30,550,60,24,0.43,0.26,0.74,0.019,0.012,0.02,1.07,0.02,0.22,1740,0.06,0,0,625
183,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.26,0.77,0.018,0.005,0.05,0.98,0.13,0.17,610,0.05,0,0.01,562
184,870,855,30,8,30,0,30,0,30,550,60,24,0.41,0.24,0.8,0.015,0.024,0.03,1.02,0.1,0.18,510,0.04,0,0.01,635
185,870,855,30,8,30,0,30,0,30,550,60,24,0.41,0.25,0.74,0.013,0.019,0.05,0.99,0.08,0.16,700,0.03,0,0,566
186,870,855,30,8,30,0,30,0,30,550,60,24,0.39,0.28,0.77,0.021,0.018,0.09,1.08,0.15,0.19,1120,0.02,0,0.01,638
187,870,855,30,8,30,0,30,0,30,550,60,24,0.37,0.24,0.69,0.018,0.016,0.02,1,0.02,0.19,1740,0.06,0,0.01,606
188,870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.29,0.77,0.015,0.017,0.12,1.1,0.09,0.15,500,0.09,0.01,0.01,582
189,870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.28,0.75,0.015,0.008,0.07,1.04,0.12,0.17,820,0.04,0,0.01,634
190,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.26,0.74,0.024,0.017,0.13,1.01,0.15,0.17,500,0.1,0,0,585
191,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.25,0.87,0.011,0.015,0.07,1.06,0.11,0.18,700,0.07,0.01,0,603
192,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.22,0.7,0.01,0.004,0.04,0.94,0.12,0.17,820,0.02,0,0.02,625
193,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.25,0.74,0.014,0.028,0.24,0.96,0.1,0.18,510,0.04,0,0.03,631
194,870,855,30,8,30,0,30,0,30,550,60,24,0.44,0.26,0.75,0.017,0.012,0.02,1.05,0.02,0.21,1740,0.04,0,0,625
195,870,855,30,8,30,0,30,0,30,600,60,24,0.41,0.24,0.77,0.014,0.015,0.04,1.06,0.05,0.2,530,0.03,0,0,551
196,870,855,30,8,30,0,30,0,30,600,60,24,0.39,0.27,0.86,0.019,0.008,0.1,0.96,0.12,0.17,500,0.08,0,0.01,539
197,870,855,30,8,30,0,30,0,30,600,60,24,0.43,0.26,0.74,0.019,0.012,0.02,1.07,0.02,0.22,1740,0.06,0,0,564
198,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.26,0.77,0.018,0.005,0.05,0.98,0.13,0.17,610,0.05,0,0.01,550
199,870,855,30,8,30,0,30,0,30,600,60,24,0.41,0.24,0.8,0.015,0.024,0.03,1.02,0.1,0.18,510,0.04,0,0.01,590
200,870,855,30,8,30,0,30,0,30,600,60,24,0.41,0.25,0.74,0.013,0.019,0.05,0.99,0.08,0.16,700,0.03,0,0,527
201,870,855,30,8,30,0,30,0,30,600,60,24,0.39,0.28,0.77,0.021,0.018,0.09,1.08,0.15,0.19,1120,0.02,0,0.01,557
202,870,855,30,8,30,0,30,0,30,600,60,24,0.37,0.24,0.69,0.018,0.016,0.02,1,0.02,0.19,1740,0.06,0,0.01,551
203,870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.29,0.77,0.015,0.017,0.12,1.1,0.09,0.15,500,0.09,0.01,0.01,583
204,870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.28,0.75,0.015,0.008,0.07,1.04,0.12,0.17,820,0.04,0,0.01,570
205,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.26,0.74,0.024,0.017,0.13,1.01,0.15,0.17,500,0.1,0,0,543
206,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.25,0.87,0.011,0.015,0.07,1.06,0.11,0.18,700,0.07,0.01,0,543
207,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.22,0.7,0.01,0.004,0.04,0.94,0.12,0.17,820,0.02,0,0.02,563
208,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.25,0.74,0.014,0.028,0.24,0.96,0.1,0.18,510,0.04,0,0.03,577
209,870,855,30,8,30,0,30,0,30,600,60,24,0.44,0.26,0.75,0.017,0.012,0.02,1.05,0.02,0.21,1740,0.04,0,0,578
210,870,855,30,8,30,0,30,0,30,650,60,24,0.41,0.24,0.77,0.014,0.015,0.04,1.06,0.05,0.2,530,0.03,0,0,490
211,870,855,30,8,30,0,30,0,30,650,60,24,0.39,0.27,0.86,0.019,0.008,0.1,0.96,0.12,0.17,500,0.08,0,0.01,496
212,870,855,30,8,30,0,30,0,30,650,60,24,0.43,0.26,0.74,0.019,0.012,0.02,1.07,0.02,0.22,1740,0.06,0,0,511
213,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.26,0.77,0.018,0.005,0.05,0.98,0.13,0.17,610,0.05,0,0.01,494
214,870,855,30,8,30,0,30,0,30,650,60,24,0.41,0.24,0.8,0.015,0.024,0.03,1.02,0.1,0.18,510,0.04,0,0.01,517
215,870,855,30,8,30,0,30,0,30,650,60,24,0.41,0.25,0.74,0.013,0.019,0.05,0.99,0.08,0.16,700,0.03,0,0,480
216,870,855,30,8,30,0,30,0,30,650,60,24,0.39,0.28,0.77,0.021,0.018,0.09,1.08,0.15,0.19,1120,0.02,0,0.01,502
217,870,855,30,8,30,0,30,0,30,650,60,24,0.37,0.24,0.69,0.018,0.016,0.02,1,0.02,0.19,1740,0.06,0,0.01,504
218,870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.29,0.77,0.015,0.017,0.12,1.1,0.09,0.15,500,0.09,0.01,0.01,505
219,870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.28,0.75,0.015,0.008,0.07,1.04,0.12,0.17,820,0.04,0,0.01,502
220,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.26,0.74,0.024,0.017,0.13,1.01,0.15,0.17,500,0.1,0,0,496
221,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.25,0.87,0.011,0.015,0.07,1.06,0.11,0.18,700,0.07,0.01,0,501
222,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.22,0.7,0.01,0.004,0.04,0.94,0.12,0.17,820,0.02,0,0.02,517
223,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.25,0.74,0.014,0.028,0.24,0.96,0.1,0.18,510,0.04,0,0.03,523
224,870,855,30,8,30,0,30,0,30,650,60,24,0.44,0.26,0.75,0.017,0.012,0.02,1.05,0.02,0.21,1740,0.04,0,0,516
225,870,845,30,8,30,0,30,0,30,550,60,24,0.39,0.22,1.57,0.017,0.018,0.05,0.13,0.06,0,480,0.01,0,0.01,486
226,870,845,30,8,30,0,30,0,30,550,60,24,0.38,0.27,1.52,0.012,0.007,0.03,0.13,0.07,0,610,0.03,0,0.01,427
227,870,845,30,8,30,0,30,0,30,550,60,24,0.4,0.25,1.34,0.017,0.015,0.02,0.13,0.02,0,1740,0.06,0,0.01,510
228,870,845,30,8,30,0,30,0,30,550,60,24,0.4,0.22,1.56,0.011,0.019,0.06,0.09,0.05,0,530,0.02,0,0.01,451
229,870,845,30,8,30,0,30,0,30,550,60,24,0.41,0.24,1.51,0.02,0.008,0.04,0.22,0.08,0,610,0.02,0.01,0.02,425
230,870,845,30,8,30,0,30,0,30,550,60,24,0.38,0.21,1.59,0.017,0.015,0.03,0.2,0.05,0,480,0.02,0,0,432
231,870,845,30,8,30,0,30,0,30,550,60,24,0.4,0.25,1.38,0.017,0.012,0.02,0.03,0.02,0,1740,0.06,0,0.01,482
232,870,845,30,8,30,0,30,0,30,600,60,24,0.39,0.22,1.57,0.017,0.018,0.05,0.13,0.06,0,480,0.01,0,0.01,435
233,870,845,30,8,30,0,30,0,30,600,60,24,0.38,0.27,1.52,0.012,0.007,0.03,0.13,0.07,0,610,0.03,0,0.01,406
234,870,845,30,8,30,0,30,0,30,600,60,24,0.4,0.25,1.34,0.017,0.015,0.02,0.13,0.02,0,1740,0.06,0,0.01,470
235,870,845,30,8,30,0,30,0,30,600,60,24,0.4,0.22,1.56,0.011,0.019,0.06,0.09,0.05,0,530,0.02,0,0.01,438
236,870,845,30,8,30,0,30,0,30,600,60,24,0.41,0.24,1.51,0.02,0.008,0.04,0.22,0.08,0,610,0.02,0.01,0.02,404
237,870,845,30,8,30,0,30,0,30,600,60,24,0.38,0.21,1.59,0.017,0.015,0.03,0.2,0.05,0,480,0.02,0,0,406
238,870,845,30,8,30,0,30,0,30,600,60,24,0.4,0.25,1.38,0.017,0.012,0.02,0.03,0.02,0,1740,0.06,0,0.01,443
239,870,845,30,8,30,0,30,0,30,650,60,24,0.39,0.22,1.57,0.017,0.018,0.05,0.13,0.06,0,480,0.01,0,0.01,397
240,870,845,30,8,30,0,30,0,30,650,60,24,0.38,0.27,1.52,0.012,0.007,0.03,0.13,0.07,0,610,0.03,0,0.01,385
241,870,845,30,8,30,0,30,0,30,650,60,24,0.4,0.25,1.34,0.017,0.015,0.02,0.13,0.02,0,1740,0.06,0,0.01,425
242,870,845,30,8,30,0,30,0,30,650,60,24,0.4,0.22,1.56,0.011,0.019,0.06,0.09,0.05,0,530,0.02,0,0.01,396
243,870,845,30,8,30,0,30,0,30,650,60,24,0.41,0.24,1.51,0.02,0.008,0.04,0.22,0.08,0,610,0.02,0.01,0.02,380
244,870,845,30,8,30,0,30,0,30,650,60,24,0.38,0.21,1.59,0.017,0.015,0.03,0.2,0.05,0,480,0.02,0,0,363
245,870,845,30,8,30,0,30,0,30,650,60,24,0.4,0.25,1.38,0.017,0.012,0.02,0.03,0.02,0,1740,0.06,0,0.01,398
246,870,845,30,8,30,0,30,0,30,550,60,24,0.42,0.23,1.5,0.01,0.009,0.04,0.15,0.05,0,820,0.03,0,0,505
247,870,845,30,8,30,0,30,0,30,550,60,24,0.43,0.34,1.38,0.017,0.01,0.08,0.26,0.1,0,1100,0.03,0,0,536
248,870,845,30,8,30,0,30,0,30,550,60,24,0.42,0.21,1.6,0.014,0.015,0.03,0.12,0.07,0,480,0.02,0,0,484
249,870,845,30,8,30,0,30,0,30,550,60,24,0.42,0.24,1.58,0.014,0.022,0.06,0.17,0.07,0,480,0.02,0,0,495
250,870,845,30,8,30,0,30,0,30,550,60,24,0.42,0.21,1.51,0.026,0.019,0.02,0.12,0.01,0,1510,0,0,0.03,551
251,870,845,30,8,30,0,30,0,30,550,60,24,0.45,0.33,1.58,0.008,0.007,0.06,0.1,0.08,0,740,0.02,0,0.01,477
252,870,845,30,8,30,0,30,0,30,550,60,24,0.41,0.34,1.36,0.02,0.015,0.07,0.27,0.1,0,1100,0.04,0,0,530
253,870,845,30,8,30,0,30,0,30,550,60,24,0.4,0.25,1.47,0.027,0.016,0.02,0.04,0.01,0,1510,0,0,0.02,516
254,870,845,30,8,30,0,30,0,30,550,60,24,0.41,0.22,1.48,0.01,0.007,0.03,0.08,0.06,0,820,0.02,0,0.01,445
255,870,845,30,8,30,0,30,0,30,550,60,24,0.46,0.3,1.49,0.014,0.008,0.1,0.26,0.1,0,1100,0.03,0,0,551
256,870,845,30,8,30,0,30,0,30,550,60,24,0.43,0.26,1.46,0.012,0.017,0.02,0.19,0.02,0,1740,0.07,0,0,510
257,870,845,30,8,30,0,30,0,30,550,60,24,0.41,0.22,1.58,0.014,0.018,0.04,0.13,0.05,0,480,0.02,0,0,443
258,870,845,30,8,30,0,30,0,30,600,60,24,0.42,0.23,1.5,0.01,0.009,0.04,0.15,0.05,0,820,0.03,0,0,449
259,870,845,30,8,30,0,30,0,30,600,60,24,0.43,0.34,1.38,0.017,0.01,0.08,0.26,0.1,0,1100,0.03,0,0,502
260,870,845,30,8,30,0,30,0,30,600,60,24,0.42,0.21,1.6,0.014,0.015,0.03,0.12,0.07,0,480,0.02,0,0,451
261,870,845,30,8,30,0,30,0,30,600,60,24,0.42,0.24,1.58,0.014,0.022,0.06,0.17,0.07,0,480,0.02,0,0,459
262,870,845,30,8,30,0,30,0,30,600,60,24,0.42,0.21,1.51,0.026,0.019,0.02,0.12,0.01,0,1510,0,0,0.03,497
263,870,845,30,8,30,0,30,0,30,600,60,24,0.45,0.33,1.58,0.008,0.007,0.06,0.1,0.08,0,740,0.02,0,0.01,451
264,870,845,30,8,30,0,30,0,30,600,60,24,0.41,0.34,1.36,0.02,0.015,0.07,0.27,0.1,0,1100,0.04,0,0,497
265,870,845,30,8,30,0,30,0,30,600,60,24,0.4,0.25,1.47,0.027,0.016,0.02,0.04,0.01,0,1510,0,0,0.02,461
266,870,845,30,8,30,0,30,0,30,600,60,24,0.41,0.22,1.48,0.01,0.007,0.03,0.08,0.06,0,820,0.02,0,0.01,399
267,870,845,30,8,30,0,30,0,30,600,60,24,0.46,0.3,1.49,0.014,0.008,0.1,0.26,0.1,0,1100,0.03,0,0,502
268,870,845,30,8,30,0,30,0,30,600,60,24,0.43,0.26,1.46,0.012,0.017,0.02,0.19,0.02,0,1740,0.07,0,0,490
269,870,845,30,8,30,0,30,0,30,600,60,24,0.41,0.22,1.58,0.014,0.018,0.04,0.13,0.05,0,480,0.02,0,0,424
270,870,845,30,8,30,0,30,0,30,650,60,24,0.42,0.23,1.5,0.01,0.009,0.04,0.15,0.05,0,820,0.03,0,0,411
271,870,845,30,8,30,0,30,0,30,650,60,24,0.43,0.34,1.38,0.017,0.01,0.08,0.26,0.1,0,1100,0.03,0,0,448
272,870,845,30,8,30,0,30,0,30,650,60,24,0.42,0.21,1.6,0.014,0.015,0.03,0.12,0.07,0,480,0.02,0,0,404
273,870,845,30,8,30,0,30,0,30,650,60,24,0.42,0.24,1.58,0.014,0.022,0.06,0.17,0.07,0,480,0.02,0,0,411
274,870,845,30,8,30,0,30,0,30,650,60,24,0.42,0.21,1.51,0.026,0.019,0.02,0.12,0.01,0,1510,0,0,0.03,438
275,870,845,30,8,30,0,30,0,30,650,60,24,0.45,0.33,1.58,0.008,0.007,0.06,0.1,0.08,0,740,0.02,0,0.01,410
276,870,845,30,8,30,0,30,0,30,650,60,24,0.41,0.34,1.36,0.02,0.015,0.07,0.27,0.1,0,1100,0.04,0,0,450
277,870,845,30,8,30,0,30,0,30,650,60,24,0.4,0.25,1.47,0.027,0.016,0.02,0.04,0.01,0,1510,0,0,0.02,410
278,870,845,30,8,30,0,30,0,30,650,60,24,0.41,0.22,1.48,0.01,0.007,0.03,0.08,0.06,0,820,0.02,0,0.01,383
279,870,845,30,8,30,0,30,0,30,650,60,24,0.46,0.3,1.49,0.014,0.008,0.1,0.26,0.1,0,1100,0.03,0,0,460
280,870,845,30,8,30,0,30,0,30,650,60,24,0.43,0.26,1.46,0.012,0.017,0.02,0.19,0.02,0,1740,0.07,0,0,442
281,870,845,30,8,30,0,30,0,30,650,60,24,0.41,0.22,1.58,0.014,0.018,0.04,0.13,0.05,0,480,0.02,0,0,399
282,900,845,30,8,30,0,30,0,30,550,60,24,0.32,0.3,0.49,0.008,0.006,2.66,0.82,0.09,0,610,0,0,0.01,563
283,900,845,30,8,30,0,30,0,30,550,60,24,0.32,0.24,0.58,0.009,0.01,2.65,0.71,0.06,0,700,0.01,0.01,0.03,530
284,900,845,30,8,30,0,30,0,30,550,60,24,0.32,0.29,0.54,0.018,0.004,2.64,0.75,0.05,0,420,0,0,0.02,570
285,900,845,30,8,30,0,30,0,30,550,60,24,0.35,0.26,0.54,0.019,0.003,2.78,0.89,0.05,0,420,0,0,0.02,578
286,900,845,30,8,30,0,30,0,30,550,60,24,0.31,0.22,0.56,0.016,0.016,2.63,0.71,0.1,0,700,0.01,0,0.01,537
287,900,845,30,8,30,0,30,0,30,550,60,24,0.33,0.3,0.49,0.009,0.006,2.66,0.82,0.06,0,820,0.01,0,0.01,569
288,900,845,30,8,30,0,30,0,30,550,60,24,0.28,0.27,0.53,0.019,0.009,2.67,0.87,0.05,0,420,0.02,0,0.02,576
289,900,845,30,8,30,0,30,0,30,550,60,24,0.34,0.26,0.65,0.01,0.009,2.63,0.84,0.05,0,700,0.01,0,0.01,549
290,900,845,30,8,30,0,30,0,30,550,60,24,0.3,0.27,0.53,0.018,0.008,2.7,0.81,0.07,0,820,0.01,0,0.01,522
291,900,845,30,8,30,0,30,0,30,550,60,24,0.32,0.3,0.52,0.013,0.009,2.67,0.77,0.06,0,1740,0.03,0,0,570
292,900,845,30,8,30,0,30,0,30,600,60,24,0.32,0.3,0.49,0.008,0.006,2.66,0.82,0.09,0,610,0,0,0.01,510
293,900,845,30,8,30,0,30,0,30,600,60,24,0.32,0.24,0.58,0.009,0.01,2.65,0.71,0.06,0,700,0.01,0.01,0.03,510
294,900,845,30,8,30,0,30,0,30,600,60,24,0.32,0.29,0.54,0.018,0.004,2.64,0.75,0.05,0,420,0,0,0.02,517
295,900,845,30,8,30,0,30,0,30,600,60,24,0.35,0.26,0.54,0.019,0.003,2.78,0.89,0.05,0,420,0,0,0.02,540
296,900,845,30,8,30,0,30,0,30,600,60,24,0.31,0.22,0.56,0.016,0.016,2.63,0.71,0.1,0,700,0.01,0,0.01,518
